2025-08-08 18:51:59 | INFO | __main__:main:264 | 🏗️ Real Estate Investment Data Ingestion Pipeline
2025-08-08 18:51:59 | INFO | __main__:main:265 | Mode: tax
2025-08-08 18:51:59 | INFO | __main__:main:266 | Environment: development
2025-08-08 18:51:59 | INFO | __main__:run_tax_records_scraping:71 | 🚀 Starting tax records scraping...
2025-08-08 18:51:59 | ERROR | __main__:run_tax_records_scraping:85 | ❌ Tax records scraping error: Retry.__init__() got an unexpected keyword argument 'method_whitelist'
2025-08-08 18:52:19 | INFO | __main__:main:264 | 🏗️ Real Estate Investment Data Ingestion Pipeline
2025-08-08 18:52:19 | INFO | __main__:main:265 | Mode: tax
2025-08-08 18:52:19 | INFO | __main__:main:266 | Environment: development
2025-08-08 18:52:19 | INFO | __main__:run_tax_records_scraping:71 | 🚀 Starting tax records scraping...
2025-08-08 18:52:19 | INFO | data_ingestion.base_scraper:run:131 | 🚀 Starting TaxRecords scraper...
2025-08-08 18:52:19 | INFO | data_ingestion.base_scraper:run:137 | 📥 Scraping raw data...
2025-08-08 18:52:19 | INFO | data_ingestion.tax_scraper:scrape_data:364 | 🔧 Using mock tax data for development
2025-08-08 18:52:19 | ERROR | data_ingestion.base_scraper:run:172 | ❌ TaxRecords scraper failed: Instance <Property at 0x2690c615fd0> is not bound to a Session; attribute refresh operation cannot proceed (Background on this error at: https://sqlalche.me/e/20/bhk3)
2025-08-08 18:52:19 | ERROR | __main__:run_tax_records_scraping:81 | ❌ Tax records scraping failed
2025-08-08 18:52:44 | INFO | __main__:main:264 | 🏗️ Real Estate Investment Data Ingestion Pipeline
2025-08-08 18:52:44 | INFO | __main__:main:265 | Mode: tax
2025-08-08 18:52:44 | INFO | __main__:main:266 | Environment: development
2025-08-08 18:52:44 | INFO | __main__:run_tax_records_scraping:71 | 🚀 Starting tax records scraping...
2025-08-08 18:52:44 | INFO | data_ingestion.base_scraper:run:131 | 🚀 Starting TaxRecords scraper...
2025-08-08 18:52:44 | INFO | data_ingestion.base_scraper:run:137 | 📥 Scraping raw data...
2025-08-08 18:52:44 | INFO | data_ingestion.tax_scraper:scrape_data:364 | 🔧 Using mock tax data for development
2025-08-08 18:52:44 | ERROR | data_ingestion.base_scraper:run:172 | ❌ TaxRecords scraper failed: Instance <Property at 0x285da521e80> is not bound to a Session; attribute refresh operation cannot proceed (Background on this error at: https://sqlalche.me/e/20/bhk3)
2025-08-08 18:52:46 | ERROR | __main__:run_tax_records_scraping:81 | ❌ Tax records scraping failed
2025-08-08 18:53:11 | INFO | __main__:main:264 | 🏗️ Real Estate Investment Data Ingestion Pipeline
2025-08-08 18:53:11 | INFO | __main__:main:265 | Mode: tax
2025-08-08 18:53:11 | INFO | __main__:main:266 | Environment: development
2025-08-08 18:53:11 | INFO | __main__:run_tax_records_scraping:71 | 🚀 Starting tax records scraping...
2025-08-08 18:53:11 | INFO | data_ingestion.base_scraper:run:131 | 🚀 Starting TaxRecords scraper...
2025-08-08 18:53:11 | INFO | data_ingestion.base_scraper:run:137 | 📥 Scraping raw data...
2025-08-08 18:53:11 | INFO | data_ingestion.tax_scraper:scrape_data:364 | 🔧 Using mock tax data for development
2025-08-08 18:53:11 | INFO | data_ingestion.base_scraper:run:148 | 🔧 Processing data...
2025-08-08 18:53:11 | INFO | data_ingestion.base_scraper:run:152 | 💾 Saving data to database...
2025-08-08 18:53:13 | INFO | data_ingestion.tax_scraper:save_data:351 | ✅ Saved 50 tax records
2025-08-08 18:53:13 | INFO | data_ingestion.base_scraper:run:159 | ✅ TaxRecords scraper completed successfully!
2025-08-08 18:53:13 | INFO | data_ingestion.base_scraper:run:160 | 📊 Processed: 50, Saved: 50
2025-08-08 18:53:13 | INFO | __main__:run_tax_records_scraping:78 | ✅ Tax records scraping completed successfully
2025-08-08 18:53:22 | INFO | __main__:main:264 | 🏗️ Real Estate Investment Data Ingestion Pipeline
2025-08-08 18:53:22 | INFO | __main__:main:265 | Mode: zoning
2025-08-08 18:53:22 | INFO | __main__:main:266 | Environment: development
2025-08-08 18:53:22 | INFO | __main__:run_zoning_data_scraping:91 | 🚀 Starting zoning data scraping...
2025-08-08 18:53:22 | INFO | data_ingestion.base_scraper:run:131 | 🚀 Starting ZoningData scraper...
2025-08-08 18:53:22 | INFO | data_ingestion.base_scraper:run:137 | 📥 Scraping raw data...
2025-08-08 18:53:22 | INFO | data_ingestion.zoning_scraper:scrape_data:464 | 🔧 Using mock zoning data for development
2025-08-08 18:53:22 | ERROR | data_ingestion.base_scraper:run:172 | ❌ ZoningData scraper failed: Instance <Property at 0x167125f1e80> is not bound to a Session; attribute refresh operation cannot proceed (Background on this error at: https://sqlalche.me/e/20/bhk3)
2025-08-08 18:53:24 | ERROR | __main__:run_zoning_data_scraping:101 | ❌ Zoning data scraping failed
2025-08-08 18:54:13 | INFO | __main__:main:264 | 🏗️ Real Estate Investment Data Ingestion Pipeline
2025-08-08 18:54:13 | INFO | __main__:main:265 | Mode: zoning
2025-08-08 18:54:13 | INFO | __main__:main:266 | Environment: development
2025-08-08 18:54:13 | INFO | __main__:run_zoning_data_scraping:91 | 🚀 Starting zoning data scraping...
2025-08-08 18:54:13 | INFO | data_ingestion.base_scraper:run:131 | 🚀 Starting ZoningData scraper...
2025-08-08 18:54:13 | INFO | data_ingestion.base_scraper:run:137 | 📥 Scraping raw data...
2025-08-08 18:54:13 | INFO | data_ingestion.zoning_scraper:scrape_data:464 | 🔧 Using mock zoning data for development
2025-08-08 18:54:13 | INFO | data_ingestion.base_scraper:run:148 | 🔧 Processing data...
2025-08-08 18:54:13 | INFO | data_ingestion.base_scraper:run:152 | 💾 Saving data to database...
2025-08-08 18:54:13 | INFO | data_ingestion.zoning_scraper:save_data:451 | ✅ Saved 50 zoning records
2025-08-08 18:54:13 | INFO | data_ingestion.base_scraper:run:159 | ✅ ZoningData scraper completed successfully!
2025-08-08 18:54:13 | INFO | data_ingestion.base_scraper:run:160 | 📊 Processed: 50, Saved: 50
2025-08-08 18:54:13 | INFO | __main__:run_zoning_data_scraping:98 | ✅ Zoning data scraping completed successfully
2025-08-08 18:54:30 | INFO | __main__:main:264 | 🏗️ Real Estate Investment Data Ingestion Pipeline
2025-08-08 18:54:30 | INFO | __main__:main:265 | Mode: full
2025-08-08 18:54:30 | INFO | __main__:main:266 | Environment: development
2025-08-08 18:54:31 | INFO | __main__:run_full_pipeline:198 | 🚀 Starting full data ingestion pipeline...
2025-08-08 18:54:31 | ERROR | __main__:run_full_pipeline:204 | ❌ Database health check failed
2025-08-08 20:53:22 | INFO | __main__:main:264 | 🏗️ Real Estate Investment Data Ingestion Pipeline
2025-08-08 20:53:22 | INFO | __main__:main:265 | Mode: full
2025-08-08 20:53:22 | INFO | __main__:main:266 | Environment: development
2025-08-08 20:53:22 | INFO | __main__:run_full_pipeline:198 | 🚀 Starting full data ingestion pipeline...
2025-08-08 20:53:22 | INFO | __main__:run_mls_scraping:51 | 🚀 Starting MLS data scraping...
2025-08-08 20:53:22 | INFO | data_ingestion.base_scraper:run:131 | 🚀 Starting MLS scraper...
2025-08-08 20:53:22 | INFO | data_ingestion.base_scraper:run:137 | 📥 Scraping raw data...
2025-08-08 20:53:22 | INFO | data_ingestion.mls_scraper:scrape_data:42 | Scraping from _scrape_zillow...
2025-08-08 20:53:24 | ERROR | data_ingestion.base_scraper:_make_request:76 | Request failed for https://www.zillow.com/homes/for_sale/: 403 Client Error: Forbidden for url: https://www.zillow.com/homes/for_sale/
2025-08-08 20:53:26 | ERROR | data_ingestion.base_scraper:_make_request:76 | Request failed for https://www.zillow.com/homes/for_rent/: 403 Client Error: Forbidden for url: https://www.zillow.com/homes/for_rent/
2025-08-08 20:53:26 | INFO | data_ingestion.mls_scraper:scrape_data:45 | ✅ Scraped 0 properties from _scrape_zillow
2025-08-08 20:53:26 | INFO | data_ingestion.mls_scraper:scrape_data:42 | Scraping from _scrape_redfin...
2025-08-08 20:53:26 | INFO | data_ingestion.mls_scraper:_scrape_redfin:125 | Redfin scraping not implemented yet
2025-08-08 20:53:26 | INFO | data_ingestion.mls_scraper:scrape_data:45 | ✅ Scraped 0 properties from _scrape_redfin
2025-08-08 20:53:26 | INFO | data_ingestion.mls_scraper:scrape_data:42 | Scraping from _scrape_realtor...
2025-08-08 20:53:26 | INFO | data_ingestion.mls_scraper:_scrape_realtor:134 | Realtor.com scraping not implemented yet
2025-08-08 20:53:26 | INFO | data_ingestion.mls_scraper:scrape_data:45 | ✅ Scraped 0 properties from _scrape_realtor
2025-08-08 20:53:26 | WARNING | data_ingestion.base_scraper:run:142 | No data scraped
2025-08-08 20:53:26 | INFO | __main__:run_mls_scraping:58 | ✅ MLS scraping completed successfully
2025-08-08 20:53:26 | INFO | __main__:run_tax_records_scraping:71 | 🚀 Starting tax records scraping...
2025-08-08 20:53:26 | INFO | data_ingestion.base_scraper:run:131 | 🚀 Starting TaxRecords scraper...
2025-08-08 20:53:26 | INFO | data_ingestion.base_scraper:run:137 | 📥 Scraping raw data...
2025-08-08 20:53:26 | INFO | data_ingestion.tax_scraper:scrape_data:364 | 🔧 Using mock tax data for development
2025-08-08 20:53:26 | INFO | data_ingestion.base_scraper:run:148 | 🔧 Processing data...
2025-08-08 20:53:26 | INFO | data_ingestion.base_scraper:run:152 | 💾 Saving data to database...
2025-08-08 20:53:27 | INFO | data_ingestion.tax_scraper:save_data:351 | ✅ Saved 50 tax records
2025-08-08 20:53:27 | INFO | data_ingestion.base_scraper:run:159 | ✅ TaxRecords scraper completed successfully!
2025-08-08 20:53:27 | INFO | data_ingestion.base_scraper:run:160 | 📊 Processed: 50, Saved: 50
2025-08-08 20:53:27 | INFO | __main__:run_tax_records_scraping:78 | ✅ Tax records scraping completed successfully
2025-08-08 20:53:27 | INFO | __main__:run_zoning_data_scraping:91 | 🚀 Starting zoning data scraping...
2025-08-08 20:53:27 | INFO | data_ingestion.base_scraper:run:131 | 🚀 Starting ZoningData scraper...
2025-08-08 20:53:27 | INFO | data_ingestion.base_scraper:run:137 | 📥 Scraping raw data...
2025-08-08 20:53:27 | INFO | data_ingestion.zoning_scraper:scrape_data:464 | 🔧 Using mock zoning data for development
2025-08-08 20:53:27 | INFO | data_ingestion.base_scraper:run:148 | 🔧 Processing data...
2025-08-08 20:53:27 | INFO | data_ingestion.base_scraper:run:152 | 💾 Saving data to database...
2025-08-08 20:53:27 | INFO | data_ingestion.zoning_scraper:save_data:451 | ✅ Saved 50 zoning records
2025-08-08 20:53:27 | INFO | data_ingestion.base_scraper:run:159 | ✅ ZoningData scraper completed successfully!
2025-08-08 20:53:27 | INFO | data_ingestion.base_scraper:run:160 | 📊 Processed: 50, Saved: 50
2025-08-08 20:53:27 | INFO | __main__:run_zoning_data_scraping:98 | ✅ Zoning data scraping completed successfully
2025-08-08 20:53:27 | INFO | __main__:run_underwriting_calculations:121 | 🚀 Starting underwriting calculations...
2025-08-08 20:53:27 | ERROR | __main__:run_underwriting_calculations:158 | ❌ Underwriting calculations error: name 'db_manager' is not defined
2025-08-08 20:53:27 | INFO | __main__:run_ml_scoring:164 | 🚀 Starting ML model training and scoring...
2025-08-08 20:53:38 | ERROR | ml_models.deal_scorer:prepare_training_data:74 | Error preparing training data: No training data available
2025-08-08 20:53:38 | ERROR | __main__:run_ml_scoring:192 | ❌ ML scoring error: No training data available
2025-08-08 20:53:38 | ERROR | __main__:run_full_pipeline:231 | ❌ Pipeline failed after 0:00:16.024935
2025-08-08 20:55:09 | INFO | __main__:main:265 | 🏗️ Real Estate Investment Data Ingestion Pipeline
2025-08-08 20:55:09 | INFO | __main__:main:266 | Mode: underwriting
2025-08-08 20:55:09 | INFO | __main__:main:267 | Environment: development
2025-08-08 20:55:09 | INFO | __main__:run_underwriting_calculations:121 | 🚀 Starting underwriting calculations...
2025-08-08 20:55:09 | INFO | __main__:run_underwriting_calculations:144 | Calculating underwriting for 100 properties
2025-08-08 20:55:09 | ERROR | __main__:run_underwriting_calculations:159 | ❌ Underwriting calculations error: Instance <Property at 0x1791f305d30> is not bound to a Session; attribute refresh operation cannot proceed (Background on this error at: https://sqlalche.me/e/20/bhk3)
